Company Name,Job Title,Job URL,Location,Employment Type,Seniority,Category,Skills Matched,Applications,Posting Date,Salary Range,Salary Type,Logo URL
ALEPH PTE. LTD.,Agile Data Analyst,https://www.mycareersfuture.gov.sg/job/information-technology/agile-data-analyst-aleph-d4d891e4341f1df5c2b537c11053e6cf?source=MCF&event=Search,Central,Permanent,Executive,Information Technology,0% skills matched,60 applications,Posted 4 days ago,"$7,000to$8,500",Monthly,https://static.mycareersfuture.gov.sg/images/company/logos/e6be592af8e2e79c32ba5627019a1c8b/aleph.png
AIRWALLEX (SINGAPORE) PTE. LTD.,Growth Marketing Project Manager,https://www.mycareersfuture.gov.sg/job/marketing/growth-marketing-project-manager-airwallex-1c904ba25f3b39e1b85fda267bb58ea0?source=MCF&event=Search,Central,Permanent,Professional,Marketing / Public Relations,0% skills matched,21 applications,Posted 4 days ago,"$8,000to$16,000",Monthly,https://static.mycareersfuture.gov.sg/images/company/logos/cd5b835cf59e9538cac1b777f8230476/airwallex.png
LRDTECH PTE. LTD.,"Software Engineer, AI / ML",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-ai-ml-lrdtech-8ef70fad3a49c7c02d2dee827d8b9982?source=MCF&event=Search,Central,Permanent ...,Executive,Information Technology,0% skills matched,30 applications,Posted 4 days ago,"$6,000to$12,000",Monthly,https://static.mycareersfuture.gov.sg/images/company/logos/7287ab7c3ae828b048151b6fafb0bc50/lrdtech.png
SPH MEDIA LIMITED,"Interactive / Data Visualisation Developer, Lianhe Zaobao",https://www.mycareersfuture.gov.sg/job/others/interactive-data-visualisation-developer-lianhe-zaobao-sph-media-fff1a42c23afb476c938c5a5fbebbd32?source=MCF&event=Search,Central,Permanent ...,Executive,Others,0% skills matched,5 applications,Posted 4 days ago,"$4,500to$9,000",Monthly,https://static.mycareersfuture.gov.sg/images/company/logos/2b0f16e0dafed0391310af2390e66e20/sph-media.jpg
MSD INTERNATIONAL GMBH (SINGAPORE BRANCH),"Specialist, Software Engineering",https://www.mycareersfuture.gov.sg/job/information-technology/specialist-software-engineering-msd-international-gmbh-04989deb186916a45c3935800782b33a?source=MCF&event=Search,Islandwide,Permanent ...,Executive,Information Technology,0% skills matched,17 applications,Posted 4 days ago,"$5,000to$9,000",Monthly,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAJYAAACWCAMAAAAL34HQAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAFpQTFRF////4uLi5eXl4+Pj7u7u5OTk6+vr5+fn5ubm6enp6Ojo7e3t6urq7Ozs+fn57+/v+vr6+Pj48PDw8fHx+/v7/v7+/Pz88/Pz9vb29/f39PT0/f398vLy9fX1z9zSPQAABRhJREFUeNrs21ubgioUBuAZNRDENEs7WP//b+5cCwsIjbbItPfDdzUXmW+oi5Pz8xMTExMTExMTExMT87/PhW5ck2RtKNX195PwQK7u97Ncw7COH7L4d7JoSNYmT94lT8K3VvPTvs0hPMvlRm7Ds/bOz2xkRVZkRVZk/ZdYJzjZ8TtY9e2CORVwMnK6qDm3f8E6s3ejqqSxHLYyy2n0Thsz1bqs0++SrMVq069kXX6/klXCt+dZlU2lKv+AJeDbt7OfIeFZeMrD7GfwocuOWvYBWPOtlcFn6pB1y511Clnl/58s9o2sNP171vbllk+/gbXfaTkNqlQEYe1zyNHGMjOoUnrSc1ay88bCUeBv5cBKn1FWU8dlJgipPbGwnptj+cxRleiqPOd9YJaLilJ6DcpK51T5U0ULr6zGxuIEs3FX0cwPK5thjZ8RwCHmqExmHOpnPlkHrEmdjXXWWN2b7+2BVYXrfJC1ffO9h0HFv45VD6qvZPEgrLEvIY4s7o/Vdv09XWtj3XqM1lrb8/0JOeNUoMfnBQ+uuUdWg8XIWk7TBMsTlit5BIVahQXlhuWq98+aq1t6EZVHMGDhzzhhEV2BNdP5GJVdHiF01vD4KSy2OsvsbzTWVbKozmKrs156QfUi5rK1oLA/LyLzxpq4t5AzbiSarZXn2FpnqrYWY2zt1gLWrYX60AqV1R26rjugpB3+7mRnefDJ6uvDPXVvYz3Kqcqa7hN9siaqPLDOKitxYzVhWYkTS4iwrMSJJcKy4IF8zxL+WF0N6Sysx01eurGER9Z03dpsWAkpqMqqt0PwZ/Twd936Z1VTrJcJzljloYTKKg/9DetXY72U09dplzyCAEtWeVCpLLJfk1VZJoMa6yhZg0o8WSQQS5miqiwuWUxnEW8s+y1fWdYYFBbnV4X1uIjEHwsHzfbWOm4xIldYAiY4V0trEY+sHsYA5hQDWMm4WFWorINS53osej/+WRO7GHAFxypfAuvdiloYVmKwqBvrui4rMVjUjVWuy0oMFnVjlb5YNSwVn4wNs8ZgUTdW6Y2FQ5i0mWMV1I1V+mNV1sk+snY2FhYUOcXo1ClG6ZHVTLLy3MoqoIRi57ODbpD0AVm5weKSVSqsM6hWZF1NVq6z7v2N1loXbC0oVeUKLBweb8xbPtdZXGcJsTZrT5Xx0xSL6yyhs5SLWBQLWfOPu87KVBaBCY4cQRisYikrdWBRK2u7Mxcpt3KKMagWse6303sW1VnsbTktFrJSFxbVWWx1VjrDakcW1VksJAtXYTnO9jDYDzZUZ7GgrN3rBOemlI0Hi4VlbV8nOCcLq/oTljbtUlj8T1n6JuqTxXWWcGMdPbHuHrzpuc7iOku4sbJlrM3IGnYk8B9TbhqL6yzhxMqyRax7I0nWc0fi5wwdjmRxjQVLRO9Z2TLW5sFSNkrkvtICVraMtZlk0SWsbhmrnGJBrXqyGNNZh69gMYNFwrLGbSWDxQwWCcvKDRZ21XtmsEgYViJZuc7iHFlXnaUMjafTLmclCfz2Wn3T7QyVXWU9Jm24cnU8Xqy5YY6LWfdbqn6yHq3FdZbQWbDyITcQ1OgvBH3MwnEAw73mZOhOCC6KcjyXgFpFivtJMwK9YCHfPCrdVVm1xzjz2PQrari3q49ThQwxm2pW9cxn1d3+Mph/VfMZK5DKnSVmVNyuIvOqbCbOe9bla9s8JzxWjcViewvPmn+9EB4TExMTExMTExMTE+OYfwQYANBtmWye3RQaAAAAAElFTkSuQmCC"
MSD INTERNATIONAL GMBH (SINGAPORE BRANCH),"Senior Specialist, Software Engineering",https://www.mycareersfuture.gov.sg/job/information-technology/senior-specialist-software-engineering-msd-international-gmbh-afbef150ff1be70c435647a9c114790f?source=MCF&event=Search,Islandwide,Permanent ...,Executive,Information Technology,0% skills matched,18 applications,Posted 4 days ago,"$6,723to$12,100",Monthly,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAJYAAACWCAMAAAAL34HQAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAFpQTFRF////4uLi5eXl4+Pj7u7u5OTk6+vr5+fn5ubm6enp6Ojo7e3t6urq7Ozs+fn57+/v+vr6+Pj48PDw8fHx+/v7/v7+/Pz88/Pz9vb29/f39PT0/f398vLy9fX1z9zSPQAABRhJREFUeNrs21ubgioUBuAZNRDENEs7WP//b+5cCwsIjbbItPfDdzUXmW+oi5Pz8xMTExMTExMTExMT87/PhW5ck2RtKNX195PwQK7u97Ncw7COH7L4d7JoSNYmT94lT8K3VvPTvs0hPMvlRm7Ds/bOz2xkRVZkRVZk/ZdYJzjZ8TtY9e2CORVwMnK6qDm3f8E6s3ejqqSxHLYyy2n0Thsz1bqs0++SrMVq069kXX6/klXCt+dZlU2lKv+AJeDbt7OfIeFZeMrD7GfwocuOWvYBWPOtlcFn6pB1y511Clnl/58s9o2sNP171vbllk+/gbXfaTkNqlQEYe1zyNHGMjOoUnrSc1ay88bCUeBv5cBKn1FWU8dlJgipPbGwnptj+cxRleiqPOd9YJaLilJ6DcpK51T5U0ULr6zGxuIEs3FX0cwPK5thjZ8RwCHmqExmHOpnPlkHrEmdjXXWWN2b7+2BVYXrfJC1ffO9h0HFv45VD6qvZPEgrLEvIY4s7o/Vdv09XWtj3XqM1lrb8/0JOeNUoMfnBQ+uuUdWg8XIWk7TBMsTlit5BIVahQXlhuWq98+aq1t6EZVHMGDhzzhhEV2BNdP5GJVdHiF01vD4KSy2OsvsbzTWVbKozmKrs156QfUi5rK1oLA/LyLzxpq4t5AzbiSarZXn2FpnqrYWY2zt1gLWrYX60AqV1R26rjugpB3+7mRnefDJ6uvDPXVvYz3Kqcqa7hN9siaqPLDOKitxYzVhWYkTS4iwrMSJJcKy4IF8zxL+WF0N6Sysx01eurGER9Z03dpsWAkpqMqqt0PwZ/Twd936Z1VTrJcJzljloYTKKg/9DetXY72U09dplzyCAEtWeVCpLLJfk1VZJoMa6yhZg0o8WSQQS5miqiwuWUxnEW8s+y1fWdYYFBbnV4X1uIjEHwsHzfbWOm4xIldYAiY4V0trEY+sHsYA5hQDWMm4WFWorINS53osej/+WRO7GHAFxypfAuvdiloYVmKwqBvrui4rMVjUjVWuy0oMFnVjlb5YNSwVn4wNs8ZgUTdW6Y2FQ5i0mWMV1I1V+mNV1sk+snY2FhYUOcXo1ClG6ZHVTLLy3MoqoIRi57ODbpD0AVm5weKSVSqsM6hWZF1NVq6z7v2N1loXbC0oVeUKLBweb8xbPtdZXGcJsTZrT5Xx0xSL6yyhs5SLWBQLWfOPu87KVBaBCY4cQRisYikrdWBRK2u7Mxcpt3KKMagWse6303sW1VnsbTktFrJSFxbVWWx1VjrDakcW1VksJAtXYTnO9jDYDzZUZ7GgrN3rBOemlI0Hi4VlbV8nOCcLq/oTljbtUlj8T1n6JuqTxXWWcGMdPbHuHrzpuc7iOku4sbJlrM3IGnYk8B9TbhqL6yzhxMqyRax7I0nWc0fi5wwdjmRxjQVLRO9Z2TLW5sFSNkrkvtICVraMtZlk0SWsbhmrnGJBrXqyGNNZh69gMYNFwrLGbSWDxQwWCcvKDRZ21XtmsEgYViJZuc7iHFlXnaUMjafTLmclCfz2Wn3T7QyVXWU9Jm24cnU8Xqy5YY6LWfdbqn6yHq3FdZbQWbDyITcQ1OgvBH3MwnEAw73mZOhOCC6KcjyXgFpFivtJMwK9YCHfPCrdVVm1xzjz2PQrari3q49ThQwxm2pW9cxn1d3+Mph/VfMZK5DKnSVmVNyuIvOqbCbOe9bla9s8JzxWjcViewvPmn+9EB4TExMTExMTExMTE+OYfwQYANBtmWye3RQaAAAAAElFTkSuQmCC"
JJ CONSULTING SERVICES,Senior Data Engineer (Data Science / Artificial Intelligence),https://www.mycareersfuture.gov.sg/job/information-technology/senior-data-engineer-jj-consulting-services-9db3333179f76ef27da01b37551c81f3?source=MCF&event=Search,Islandwide,Full Time,Professional,Information Technology,0% skills matched,15 applications,Posted 4 days ago,"$8,000to$11,000",Monthly,https://static.mycareersfuture.gov.sg/images/company/logos/94fb0431f6b4a9cd73c62c4a52061828/jj-consulting-services.png
ACE GLOBAL BUSINESS MANAGEMENT PTE. LTD.,Business Research Analyst,https://www.mycareersfuture.gov.sg/job/banking-finance/business-research-analyst-ace-global-business-management-3d1984cf084db7dca8c8f0c4640f718a?source=MCF&event=Search,Islandwide,Part Time ...,Executive,Banking And Finance ...,0% skills matched,20 applications,Posted 4 days ago,"$2,500to$4,000",Monthly,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAJYAAACWCAMAAAAL34HQAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAFpQTFRF////4uLi5eXl4+Pj7u7u5OTk6+vr5+fn5ubm6enp6Ojo7e3t6urq7Ozs+fn57+/v+vr6+Pj48PDw8fHx+/v7/v7+/Pz88/Pz9vb29/f39PT0/f398vLy9fX1z9zSPQAABRhJREFUeNrs21ubgioUBuAZNRDENEs7WP//b+5cCwsIjbbItPfDdzUXmW+oi5Pz8xMTExMTExMTExMT87/PhW5ck2RtKNX195PwQK7u97Ncw7COH7L4d7JoSNYmT94lT8K3VvPTvs0hPMvlRm7Ds/bOz2xkRVZkRVZk/ZdYJzjZ8TtY9e2CORVwMnK6qDm3f8E6s3ejqqSxHLYyy2n0Thsz1bqs0++SrMVq069kXX6/klXCt+dZlU2lKv+AJeDbt7OfIeFZeMrD7GfwocuOWvYBWPOtlcFn6pB1y511Clnl/58s9o2sNP171vbllk+/gbXfaTkNqlQEYe1zyNHGMjOoUnrSc1ay88bCUeBv5cBKn1FWU8dlJgipPbGwnptj+cxRleiqPOd9YJaLilJ6DcpK51T5U0ULr6zGxuIEs3FX0cwPK5thjZ8RwCHmqExmHOpnPlkHrEmdjXXWWN2b7+2BVYXrfJC1ffO9h0HFv45VD6qvZPEgrLEvIY4s7o/Vdv09XWtj3XqM1lrb8/0JOeNUoMfnBQ+uuUdWg8XIWk7TBMsTlit5BIVahQXlhuWq98+aq1t6EZVHMGDhzzhhEV2BNdP5GJVdHiF01vD4KSy2OsvsbzTWVbKozmKrs156QfUi5rK1oLA/LyLzxpq4t5AzbiSarZXn2FpnqrYWY2zt1gLWrYX60AqV1R26rjugpB3+7mRnefDJ6uvDPXVvYz3Kqcqa7hN9siaqPLDOKitxYzVhWYkTS4iwrMSJJcKy4IF8zxL+WF0N6Sysx01eurGER9Z03dpsWAkpqMqqt0PwZ/Twd936Z1VTrJcJzljloYTKKg/9DetXY72U09dplzyCAEtWeVCpLLJfk1VZJoMa6yhZg0o8WSQQS5miqiwuWUxnEW8s+y1fWdYYFBbnV4X1uIjEHwsHzfbWOm4xIldYAiY4V0trEY+sHsYA5hQDWMm4WFWorINS53osej/+WRO7GHAFxypfAuvdiloYVmKwqBvrui4rMVjUjVWuy0oMFnVjlb5YNSwVn4wNs8ZgUTdW6Y2FQ5i0mWMV1I1V+mNV1sk+snY2FhYUOcXo1ClG6ZHVTLLy3MoqoIRi57ODbpD0AVm5weKSVSqsM6hWZF1NVq6z7v2N1loXbC0oVeUKLBweb8xbPtdZXGcJsTZrT5Xx0xSL6yyhs5SLWBQLWfOPu87KVBaBCY4cQRisYikrdWBRK2u7Mxcpt3KKMagWse6303sW1VnsbTktFrJSFxbVWWx1VjrDakcW1VksJAtXYTnO9jDYDzZUZ7GgrN3rBOemlI0Hi4VlbV8nOCcLq/oTljbtUlj8T1n6JuqTxXWWcGMdPbHuHrzpuc7iOku4sbJlrM3IGnYk8B9TbhqL6yzhxMqyRax7I0nWc0fi5wwdjmRxjQVLRO9Z2TLW5sFSNkrkvtICVraMtZlk0SWsbhmrnGJBrXqyGNNZh69gMYNFwrLGbSWDxQwWCcvKDRZ21XtmsEgYViJZuc7iHFlXnaUMjafTLmclCfz2Wn3T7QyVXWU9Jm24cnU8Xqy5YY6LWfdbqn6yHq3FdZbQWbDyITcQ1OgvBH3MwnEAw73mZOhOCC6KcjyXgFpFivtJMwK9YCHfPCrdVVm1xzjz2PQrari3q49ThQwxm2pW9cxn1d3+Mph/VfMZK5DKnSVmVNyuIvOqbCbOe9bla9s8JzxWjcViewvPmn+9EB4TExMTExMTExMTE+OYfwQYANBtmWye3RQaAAAAAElFTkSuQmCC"
R SYSTEMS (SINGAPORE) PTE LIMITED,Data Engineer - AI / ML,https://www.mycareersfuture.gov.sg/job/information-technology/data-engineer-ai-ml-r-systems-9c2e23edba9d8fd3278c7905ba11bd02?source=MCF&event=Search,South,Contract,Professional,Information Technology,0% skills matched,10 applications,Posted 5 days ago,"$4,000to$6,000",Monthly,https://static.mycareersfuture.gov.sg/images/company/logos/ea93151748a4a6958a34d83bb861377a/r-systems.jpg
ACCENTURE SG SERVICES PTE. LTD.,DATA WAREHOUSE ARCHITECT,https://www.mycareersfuture.gov.sg/job/information-technology/data-warehouse-architect-accenture-c4aac56d23cc057c9ff6e932200b473c?source=MCF&event=Search,East,Permanent,Professional,Information Technology,0% skills matched,20 applications,Posted 5 days ago,"$10,000to$20,000",Monthly,https://static.mycareersfuture.gov.sg/images/company/logos/653dc9af5319fd4c4ab4e3ce7e372ff8/accenture-sg-services.png
